"url","id","publisherName","releaseDate","name","isAgeRestricted","activeCtaId","starRating/averageRating","starRating/totalRatingsCount"
"https://store.playstation.com/en-us/product/UP0700-PPSA04610_00-ELDENRINGSOTEE00","UP0700-PPSA04610_00-ELDENRINGSOTEE00","Bandai Namco Entertainment America Inc.","2024-06-21T04:00:00Z","ELDEN RING Shadow of the Erdtree Edition PS4 & PS5","false","PREORDER:BUY_NOW:UP0700-PPSA04610_00-ELDENRINGSOTEE00-U001:OUTRIGHT","4.71","61703"
"https://store.playstation.com/en-us/product/UP0700-PPSA04610_00-ELDENRINGSOTEPB0","UP0700-PPSA04610_00-ELDENRINGSOTEPB0","Bandai Namco Entertainment America Inc.","2024-06-21T04:00:00Z","ELDEN RING Shadow of the Erdtree Premium Bundle","false","PREORDER:BUY_NOW:UP0700-PPSA04610_00-ELDENRINGSOTEPB0-U001:OUTRIGHT","4.71","61704"
"https://store.playstation.com/en-us/product/UP0006-PPSA17630_00-F124GAMEPS5GAME0","UP0006-PPSA17630_00-F124GAMEPS5GAME0","Electronic Arts Inc","2024-05-31T15:00:00Z","F1® 24 Standard Edition","false","PREORDER:BUY_NOW:UP0006-PPSA17630_00-F124GAMEPS5GAME0-U001:OUTRIGHT","5","4"
"https://store.playstation.com/en-us/product/UP3177-PPSA15927_00-EDFWB2DXEDITION0","UP3177-PPSA15927_00-EDFWB2DXEDITION0","D3PUBLISHER","2024-09-26T04:00:00Z","EARTH DEFENSE FORCE: WORLD BROTHERS 2 Deluxe Edition","false","PREORDER:BUY_NOW:UP3177-PPSA15927_00-EDFWB2DXEDITION0-U001:OUTRIGHT","0","0"
"https://store.playstation.com/en-us/product/UP0700-PPSA04610_00-ELDENRINGDX00001","UP0700-PPSA04610_00-ELDENRINGDX00001","Bandai Namco Entertainment America Inc.","2024-06-21T04:00:00Z","ELDEN RING Shadow of the Erdtree Deluxe Edition PS4 & PS5","false","PREORDER:BUY_NOW:UP0700-PPSA04610_00-ELDENRINGDX00001-U001:OUTRIGHT","4.71","61704"
"https://store.playstation.com/en-us/product/UP3177-PPSA15927_00-EDFWORLDBROTHER2","UP3177-PPSA15927_00-EDFWORLDBROTHER2","D3PUBLISHER","2024-09-26T04:00:00Z","EARTH DEFENSE FORCE: WORLD BROTHERS 2","false","PREORDER:BUY_NOW:UP3177-PPSA15927_00-EDFWORLDBROTHER2-U001:OUTRIGHT","0","0"
"https://store.playstation.com/en-us/product/UP2514-PPSA18027_00-PLANETZOOOOOOOOO","UP2514-PPSA18027_00-PLANETZOOOOOOOOO","Frontier Developments PLC","2024-03-26T14:00:00Z","Planet Zoo","false","PREORDER:BUY_NOW:UP2514-PPSA18027_00-PLANETZOOOOOOOOO-U001:OUTRIGHT","0","0"
"https://store.playstation.com/en-us/product/UP1032-PPSA16941_00-SWBATTLEFRONT000","UP1032-PPSA16941_00-SWBATTLEFRONT000","Aspyr Media, Inc.","2024-03-14T04:00:00Z","STAR WARS™ Battlefront Classic Collection","false","PREORDER:BUY_NOW:UP1032-PPSA16941_00-SWBATTLEFRONT000-U002:OUTRIGHT","4.94","156"
"https://store.playstation.com/en-us/product/UP2514-PPSA18027_00-PLANTZOODELUXEED","UP2514-PPSA18027_00-PLANTZOODELUXEED","Frontier Developments PLC","2024-03-26T14:00:00Z","Planet Zoo: Deluxe Edition","false","PREORDER:BUY_NOW:UP2514-PPSA18027_00-PLANTZOODELUXEED-U001:OUTRIGHT","0","0"
"https://store.playstation.com/en-us/product/UP2514-PPSA18027_00-PLNETZOOULTIMATE","UP2514-PPSA18027_00-PLNETZOOULTIMATE","Frontier Developments PLC","2024-03-26T14:00:00Z","Planet Zoo: Ultimate Edition","false","PREORDER:BUY_NOW:UP2514-PPSA18027_00-PLNETZOOULTIMATE-U001:OUTRIGHT","0","0"
"https://store.playstation.com/en-us/product/UP0177-PPSA09770_00-UNICORNOVERLORD0","UP0177-PPSA09770_00-UNICORNOVERLORD0","SEGA of America, Inc.","2024-03-08T05:00:00Z","Unicorn Overlord","false","PREORDER:BUY_NOW:UP0177-PPSA09770_00-UNICORNOVERLORD0-U001:OUTRIGHT","4.81","1302"
"https://store.playstation.com/en-us/product/UP6665-PPSA09252_00-CW000PREORDER000","UP6665-PPSA09252_00-CW000PREORDER000","NACON SA","2024-03-14T09:00:00Z","Crown Wars: The Black Prince Pre-order","false","PREORDER:BUY_NOW:UP6665-PPSA09252_00-CW000PREORDER000-U002:OUTRIGHT","0","0"
"https://store.playstation.com/en-us/product/UP6665-PPSA09252_00-CW000PREORDER001","UP6665-PPSA09252_00-CW000PREORDER001","NACON SA","2024-03-14T09:00:00Z","Crown Wars – Sacred Edition Pre-order","false","PREORDER:BUY_NOW:UP6665-PPSA09252_00-CW000PREORDER001-U002:OUTRIGHT","0","0"
"https://store.playstation.com/en-us/product/UP0097-PPSA15513_00-0331313377975206","UP0097-PPSA15513_00-0331313377975206","tinyBuild GAMES","2024-03-14T04:00:00Z","Cartel Tycoon","false","PREORDER:BUY_NOW:UP0097-PPSA15513_00-0331313377975206-U001:OUTRIGHT","0","0"
"https://store.playstation.com/en-us/product/UP9000-PPSA17085_00-MLBTHESHOW24MVPE","UP9000-PPSA17085_00-MLBTHESHOW24MVPE","Sony Interactive Entertainment","2024-03-15T04:00:00Z","MLB® The Show™ 24 MVP Edition PS5® and PS4®","false","PREORDER:BUY_NOW:UP9000-PPSA17085_00-MLBTHESHOW24MVPE-U001:OUTRIGHT","4.77","26"
"https://store.playstation.com/en-us/product/UP0097-PPSA15513_00-0715882340551601","UP0097-PPSA15513_00-0715882340551601","tinyBuild GAMES","2024-03-14T04:00:00Z","Cartel Tycoon - Deluxe Edition","false","PREORDER:BUY_NOW:UP0097-PPSA15513_00-0715882340551601-U001:OUTRIGHT","0","0"
"https://store.playstation.com/en-us/product/UP9000-PPSA17085_00-MLBTHESHOW24DGDL","UP9000-PPSA17085_00-MLBTHESHOW24DGDL","Sony Interactive Entertainment","2024-03-15T04:00:00Z","MLB® The Show™ 24 Digital Deluxe Edition PS5® and PS4®","false","PREORDER:BUY_NOW:UP9000-PPSA17085_00-MLBTHESHOW24DGDL-U001:OUTRIGHT","4.77","26"
"https://store.playstation.com/en-us/product/UP1003-PPSA17168_00-HIBIKIDLXBUNDLE0","UP1003-PPSA17168_00-HIBIKIDLXBUNDLE0","Bethesda Softworks","2024-03-19T00:00:00Z","Hi-Fi RUSH Deluxe Edition","false","PREORDER:BUY_NOW:UP1003-PPSA17168_00-HIBIKIDLXBUNDLE0-U001:OUTRIGHT","0","0"
"https://store.playstation.com/en-us/product/UP4389-PPSA08240_00-AITDDIGITALDELUX","UP4389-PPSA08240_00-AITDDIGITALDELUX","THQ Nordic","2024-03-20T14:00:00Z","Alone in the Dark - Digital Deluxe Edition","false","PREORDER:BUY_NOW:UP4389-PPSA08240_00-AITDDIGITALDELUX-U001:OUTRIGHT","4.06","102"
"https://store.playstation.com/en-us/product/UP1003-PPSA17168_00-HIFIRUSH00000000","UP1003-PPSA17168_00-HIFIRUSH00000000","Bethesda Softworks","2024-03-19T00:00:00Z","Hi-Fi RUSH","false","PREORDER:BUY_NOW:UP1003-PPSA17168_00-HIFIRUSH00000000-U001:OUTRIGHT","0","0"
"https://store.playstation.com/en-us/product/UP4389-PPSA04813_00-OUTCAST2US000000","UP4389-PPSA04813_00-OUTCAST2US000000","THQ Nordic","2024-03-15T14:00:00Z","Outcast - A New Beginning","false","PREORDER:BUY_NOW:UP4389-PPSA04813_00-OUTCAST2US000000-U001:OUTRIGHT","3.25","551"
"https://store.playstation.com/en-us/product/UP9000-PPSA17085_00-MLBTHESHOW24SHIP","UP9000-PPSA17085_00-MLBTHESHOW24SHIP","Sony Interactive Entertainment","2024-03-19T04:00:00Z","MLB® The Show™ 24 PS5®","false","PREORDER:BUY_NOW:UP9000-PPSA17085_00-MLBTHESHOW24SHIP-U001:OUTRIGHT","4.77","26"
"https://store.playstation.com/en-us/product/UP4389-PPSA08240_00-ALONEINTHEDARKUS","UP4389-PPSA08240_00-ALONEINTHEDARKUS","THQ Nordic","2024-03-20T14:00:00Z","Alone in the Dark","false","PREORDER:BUY_NOW:UP4389-PPSA08240_00-ALONEINTHEDARKUS-U001:OUTRIGHT","4.06","102"
"https://store.playstation.com/en-us/product/UP9000-PPSA04539_00-RONINFULLGAME001","UP9000-PPSA04539_00-RONINFULLGAME001","Sony Interactive Entertainment","2024-03-22T04:00:00Z","Rise of the Ronin™","false","PREORDER:BUY_NOW:UP9000-PPSA04539_00-RONINFULLGAME001-U001:OUTRIGHT","0","0"
